County,Address,
Bay County,"1200 Washington Avenue, Bay City, MI",
Benzie County,"6051 Frankfort Highway, Benzonia, MI",
Leelanau County,"7401 E. Duck Lake Road, Lake Leelanau, MI",
Berrien County,"2149 E. Napier Avenue, Benton Harbor, MI",
Berrien County,"1205 N. Front Street, Niles, MI",
Berrien County,"21 N. Elm Street, Three Oaks, MI",
Calhoun County,"190 E. Michigan Avenue, Battle Creek, MI",
Calhoun County,"214 E. Michigan Avenue, Albion, MI",
Arenac County,"4489 W. M-611, Standish, MI",
Clare County,"815 N. Clare Avenue, Harrison, MI",
Gladwin County,"103 N. Bowery Avenue, Gladwin, MI",
Isabella County,"2012 E. Preston Avenue, Mt. Pleasant, MI",
Osceola County,"22054 Professional Drive, Reed City, MI",
Roscommon County,"200 Grand Avenue, Prudenville, MI",
Chippewa County,"508 Ashmun Street, Sault Ste. Marie, MI",
Wayne County,"7737 Kercheval Avenue, Detroit, MI",
Dickinson County,"818 Pyle Drive, Kingsford, MI",
Iron County,"601 Washington Avenue, Iron River, MI",
Iosco County,"420 W. Lake Street, Tawas City, MI",
Ogemaw County,"630 Progress Street, West Branch, MI",
Oscoda County,"393 S. Mt. Tom Road, Mio, MI",
Alpena County,"100 Woods Circle, Alpena, MI",
Cheboygan County,"825 S. Huron Street, Cheboygan, MI",
Montmorency County,"12519 State Street, Atlanta, MI",
Presque Isle County,"106 E. Huron Street, Rogers City, MI",
Crawford County,"501 Norway Street, Grayling, MI",
Kalkaska County,"625 Courthouse Drive, Kalkaska, MI",
Lake County,"5681 S. M-37, Baldwin, MI",
Manistee County,"385 Third Street, Manistee, MI",
Mason County,"916 Diana Street, Ludington, MI",
Mecosta County,"14485 Northland Drive, Big Rapids, MI",
Missaukee County,"6180 W. Sanborn Road, Lake City, MI",
Newaygo County,"1049 Newell Street, White Cloud, MI",
Oceana County,"3986 N. Oceana Drive, Hart, MI",
Wexford County,"521 Cobb Street, Cadillac, MI",
Genesee County,"G-3373 S. Saginaw Street, Burton, MI",
Grand Traverse County,"112 S. Brownson Avenue, Kingsley, MI",
Grand Traverse County,"2600 LaFranier Road, Traverse City, MI",
Antrim County,"205 Grove Street, Mancelona, MI",
Charlevoix County,"220 W. Garfield Avenue, Charlevoix, MI",
Emmet County,"3434 Harbor-Petoskey Road, Harbor Springs, MI",
Ostego County,"95 Livingston Boulevard, Gaylord, MI",
Oakland County,"1701 Baldwin Avenue, Pontiac, MI",
Oakland County,"461 West Huron, Pontiac, MI",
Oakland County,"1200 North Telegraph Road, Pontiac, MI",
Oakland County,"27725 Greenfield Road, Southfield, MI",
Huron County,"1142 S. Van Dyke Road, Bad Axe, MI",
Ingham County,"5303 S. Cedar Street, Lansing, MI",
Lenawee County,"1040 S. Winter Street, Adrian, MI",
Alger County,"E9526 Prospect Street, Munising, MI",
Luce County,"14150 Hamilston Lake Road, Newberry, MI",
Mackinac County,"749 Hombach Street, St. Ignace, MI",
Schoolcraft County,"300 Walnut Street, Manistique, MI",
Macomb County,"43525 Elizabeth Road, Mt. Clemens, MI",
Macomb County,"25401 Harper Avenue, St. Clair Shores, MI",
Macomb County,"11370 Hupp Avenue, Warren, MI",
Macomb County,"27690 Van Dyke Avenue, Warren, MI",
Marquette County,"184 US Highway 41 East, Megaunee, MI",
Midland County,"220 W. Ellsworth Street, Midland, MI",
Clinton County,"1307 E. Townsend Road, St. Johns, MI",
Gratiot County,"151 Commerce Drive, Ithaca, MI",
Montcalm County,"615 N. State Street, Stanton, MI",
Shiawassee County,"110 E. Mack Street, Corunna, MI",
Monroe County,"2353 S. Custer Road, Monroe, MI",
Wayne County,"26650 Eureka Road, Taylor, MI",
Ottawa County,"1207 S. Beechtree Street, Grand Haven, MI",
Ottawa County,"12251 James Street, Holland, MI",
Ottawa County,"3100 Port Sheldon Street, Hudsonville, MI",
Delta County,"2920 College Avenue, Escanaba, MI",
Menominee County,"909 Tenth Avenue, Menominee, MI",
Saginaw County,"1600 N. Michigan Avenue, Saginaw, MI",
Sanilac County,"171 N. Dawson Street, Sandusky, MI",
St. Clair County,"3415 28th Street, Port Huron, MI",
Tuscola County,"1309 Cleaver Road, Caro, MI",
Washtenaw County,"555 Towner Street, Ypsilanti, MI",
Barage County,"303 Baraga Avenue, L'Anse, MI",
Gogebic County,"210 N. Moore Street, Bessemer, MI",
Houghton-Keeweenaw County,"540 Depot Street, Hancock, MI",
Ontonagon County,"408 Copper Street, Ontonagon, MI",
